method,filename,actual,raw,corrected,raw_similarity,corrected_similarity
gray,image (1).jpeg,racist,reet_,reet,0.3636,0.4
gray,image (2).jpeg,implications,implications,implications,1.0,1.0
gray,image (3).jpeg,desire,desire,desire,1.0,1.0
gray,image (4).jpeg,amino,amino,amino,1.0,1.0
gray,image (5).jpeg,gamma,gamma,gamma,1.0,1.0
gray,image (6).jpeg,genetic,genetic,genetic,1.0,1.0
gray,image (7).jpeg,plants,(plants,plants,0.9231,1.0
gray,image (8).jpeg,astounding,astounding,astounding,1.0,1.0
gray,image (9).jpeg,culture,culture,culture,1.0,1.0
gray,image (10).jpeg,nights,ciohs,ciohs,0.5455,0.5455
gray,image (11).jpeg,predator,@tedotoe,tedotoe,0.5,0.5333
gray,image (12).jpeg,universities,uni u %s1f1,uni u s1f1,0.3478,0.3636
gray,image (13).jpeg,students,students,students,1.0,1.0
gray,image (14).jpeg,organization,orqani satibh,orqani satibh,0.64,0.64
gray,image (15).jpeg,haircut,iatc c4t,iatc c4t,0.4,0.4
gray,image (16).jpeg,the writing's on the wall,tnc kiting's m me ball,tnc kiting s m me ball,0.6809,0.6383
gray,image (17).jpeg,"communication skills, discipline, and confidence","conunicalicnskills ,_discibline, and confidence.",conunicalicnskills discibline and confidence,0.8542,0.8696
gray,image (18).jpeg,"and if love finds me again, i hope it's someone who",znol /ow hi ah a imionl ah,znol ow hi ah a imionl ah,0.3896,0.3947
gray,image (19).jpeg,sometimes it's heat and i actually like it,sorctimes it's ieat ad ll (+ . aetually,sorctimes it s ieat ad ll aetually,0.6914,0.7105
gray,image (20).jpeg,run away from those whose existance bleeds excuses,ewdlyy eon_a9fhose orhnse existamce blecdls excuses 7run,ewdlyy eon a9fhose orhnse existamce blecdls excuses 7run,0.6604,0.6792
gray,image (21).jpeg,education has played an important role in shaping my personality and career,educatiomn_has ~played a imbottant ncle in shabing_my bensonality caieeh . ad,educatiomn has played a imbottant nde in shabing my bensonality caieeh ad,0.7763,0.8108
gray,image (22).jpeg,"rejections, mistakes , failures","crejections , mistokes, failures,",crejections mistokes failures,0.9062,0.9
gray,image (23).jpeg,thank you so much for taking excellent care of our cat olive!,thank yot so much for excellent care 0f out cat olive ! taking,thank yot so much for excellent care of out cat olive taking,0.8293,0.843
resize,image (1).jpeg,racist,ree5t_,ree5t,0.3333,0.3636
resize,image (2).jpeg,implications,implications,implications,1.0,1.0
resize,image (3).jpeg,desire,desire,desire,1.0,1.0
resize,image (4).jpeg,amino,amino,amino,1.0,1.0
resize,image (5).jpeg,gamma,gamma,gamma,1.0,1.0
resize,image (6).jpeg,genetic,genetic,genetic,1.0,1.0
resize,image (7).jpeg,plants,(qlants,qlants,0.7692,0.8333
resize,image (8).jpeg,astounding,astounding,astounding,1.0,1.0
resize,image (9).jpeg,culture,culture,culture,1.0,1.0
resize,image (10).jpeg,nights,cigks,cigks,0.5455,0.5455
resize,image (11).jpeg,predator,@edotoz,edotoz,0.5333,0.5714
resize,image (12).jpeg,universities,uni 1 %8if-88,uni l bif bb,0.32,0.3333
resize,image (13).jpeg,students,students,students,1.0,1.0
resize,image (14).jpeg,organization,organi sati dh,organi sati dh,0.6923,0.6923
resize,image (15).jpeg,haircut,hatcut,hatcut,0.7692,0.7692
resize,image (16).jpeg,the writing's on the wall,thc kritiny's m me wall,thc kritiny s m me wall,0.75,0.7083
resize,image (17).jpeg,"communication skills, discipline, and confidence","commuication skills ,_disciplime, and conkidemce",commuication skills disciplime and conkidemce,0.8958,0.9032
resize,image (18).jpeg,"and if love finds me again, i hope it's someone who",0d lo aot $ onol (ou hil m fvyaw 1 7 ib nemienl 744 ah,0d lo aot onol ou hil m fvyaw 1 7 ib nemienl 744 ah,0.4,0.4118
resize,image (19).jpeg,sometimes it's heat and i actually like it,soretimes it's neat ad lkl tt . actually,soretimes it s neat ad lkl tt actually,0.7317,0.725
resize,image (20).jpeg,run away from those whose existance bleeds excuses,oludl arhsc existamce blcedbs excuses 7 run 6hosc 3efon,oludl arhsc existamce blcedbs excuses 7 run 6hosc 3efon,0.5524,0.5524
resize,image (21).jpeg,education has played an important role in shaping my personality and career,education_has played a impontant ncle in shaping my pensonality _and_canveet,education has played a impontant nde in shaping my pensonality and canveet,0.8742,0.8993
resize,image (22).jpeg,"rejections, mistakes , failures","(rejections , mistakes 9 failures,",rejections mistakes 9 failures,0.9231,0.9508
resize,image (23).jpeg,thank you so much for taking excellent care of our cat olive!,thank yot 50 muck for excellent care of out cat olive ! taking,thank yot so muck for excellent care of out cat olive taking,0.7967,0.8264
gray_resize,image (1).jpeg,racist,ree5t_,ree5t,0.3333,0.3636
gray_resize,image (2).jpeg,implications,implications,implications,1.0,1.0
gray_resize,image (3).jpeg,desire,desire,desire,1.0,1.0
gray_resize,image (4).jpeg,amino,amino,amino,1.0,1.0
gray_resize,image (5).jpeg,gamma,gamma,gamma,1.0,1.0
gray_resize,image (6).jpeg,genetic,genetic,genetic,1.0,1.0
gray_resize,image (7).jpeg,plants,lants q,lants q,0.7692,0.7692
gray_resize,image (8).jpeg,astounding,astounding,astounding,1.0,1.0
gray_resize,image (9).jpeg,culture,culture,culture,1.0,1.0
gray_resize,image (10).jpeg,nights,cigks,cigks,0.5455,0.5455
gray_resize,image (11).jpeg,predator,@edotoz,edotoz,0.5333,0.5714
gray_resize,image (12).jpeg,universities,uni 1 %81fi-88,uni l blfi bb,0.3077,0.32
gray_resize,image (13).jpeg,students,students,students,1.0,1.0
gray_resize,image (14).jpeg,organization,organi sati dh,organi sati dh,0.6923,0.6923
gray_resize,image (15).jpeg,haircut,haacut,haacut,0.7692,0.7692
gray_resize,image (16).jpeg,the writing's on the wall,thc kritiny's m me hall,thc kritiny s m me hall,0.7083,0.6667
gray_resize,image (17).jpeg,"communication skills, discipline, and confidence","commuicalion_skills,_discipline , and confidence",commuicalion skills discipline and confidence,0.9167,0.9462
gray_resize,image (18).jpeg,"and if love finds me again, i hope it's someone who","""80 l aot $ eol kow aisi m 3 1 _ as nemionl 74y7 ah ya",bo l aot eol kow aisi m 3 l as nemionl 74y7 ah ya,0.4,0.38
gray_resize,image (19).jpeg,sometimes it's heat and i actually like it,soretimes it's neat ad lk tt . acually,soretimes it s neat ad lk tt acually,0.725,0.7179
gray_resize,image (20).jpeg,run away from those whose existance bleeds excuses,dulull orhnsc existamce bleedbs excuses 62run bfos2 sfon t,dulull orhnsc existamce bleedbs excuses 62run bfos2 sfon t,0.537,0.537
gray_resize,image (21).jpeg,education has played an important role in shaping my personality and career,education_has played a imbottant ncle in pensonality and_caneet my shabing,education has played a imbottant nde in pensonality and caneet my shabing,0.7248,0.7432
gray_resize,image (22).jpeg,"rejections, mistakes , failures","mistakes  9 failures , (ejections ,",mistakes 9 failures ejections,0.5455,0.6
gray_resize,image (23).jpeg,thank you so much for taking excellent care of our cat olive!,thank yot 0 muck for excellent care of out cat olive ! taking,thank yot o muck for excellent care of out cat olive taking,0.8033,0.8167
blur,image (1).jpeg,racist,rest_,rest,0.5455,0.6
blur,image (2).jpeg,implications,implications,implications,1.0,1.0
blur,image (3).jpeg,desire,desire,desire,1.0,1.0
